frame,camera,player_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,confidence,class
72,broadcast,player_02,896,604,943,703,919.871,653.7374,0.8887073397636414,player
75,broadcast,player_02,879,608,944,705,912.3782,657.2572,0.9111635684967041,player
78,broadcast,player_02,876,608,963,704,920.06555,656.6937,0.9357836842536926,player
81,broadcast,player_02,912,605,977,705,945.0024,655.5116,0.9038525223731995,player
84,broadcast,player_02,937,603,991,704,964.5055,654.0579,0.882142961025238,player
87,broadcast,player_02,957,607,1010,707,984.27814,657.8566,0.9075489044189453,player
90,broadcast,player_02,993,608,1039,704,1016.6884,656.87354,0.9214913845062256,player
93,broadcast,player_02,1031,604,1063,708,1047.4502,656.1131,0.908927857875824,player
96,broadcast,player_02,1046,606,1084,709,1065.2974,658.0058,0.9054424166679382,player
99,broadcast,player_02,1063,617,1099,718,1081.2141,667.6424,0.8682533502578735,player
102,broadcast,player_02,1063,626,1111,726,1087.5282,676.41284,0.9160861372947693,player
105,broadcast,player_02,1081,631,1119,730,1100.9114,680.9306,0.8744186758995056,player
108,broadcast,player_02,1092,630,1128,736,1110.4126,683.36694,0.8701977729797363,player
111,broadcast,player_02,1096,630,1136,742,1116.3132,686.4049,0.9179395437240601,player
114,broadcast,player_02,1098,632,1147,747,1122.9146,690.0205,0.9112662672996521,player
117,broadcast,player_02,1104,637,1157,750,1130.9374,693.7928,0.8895103335380554,player
120,broadcast,player_02,1102,639,1153,754,1127.6633,696.62976,0.8981644511222839,player
123,broadcast,player_02,1103,639,1153,757,1128.209,698.37946,0.9052639007568359,player
6,broadcast,player_03,602,751,668,879,635.68933,815.82825,0.9215697646141052,player
9,broadcast,player_03,616,752,668,880,642.3279,816.2892,0.9030245542526245,player
12,broadcast,player_03,632,745,686,878,659.48364,812.00977,0.9163498282432556,player
15,broadcast,player_03,637,739,690,866,664.1486,802.936,0.9060389399528503,player
18,broadcast,player_03,650,729,707,860,678.766,795.0746,0.9164528250694275,player
21,broadcast,player_03,653,721,721,844,687.3067,783.0232,0.918468177318573,player
24,broadcast,player_03,664,712,719,839,691.8311,776.0718,0.9101834893226624,player
27,broadcast,player_03,675,705,731,823,703.2271,764.4951,0.9132317304611206,player
30,broadcast,player_03,679,697,726,823,703.15857,760.341,0.9134406447410583,player
33,broadcast,player_03,682,687,738,801,710.213,744.76416,0.9212825298309326,player
36,broadcast,player_03,686,684,735,806,711.2196,745.1725,0.9056218862533569,player
39,broadcast,player_03,697,678,748,792,722.73395,735.3668,0.9106264710426331,player
42,broadcast,player_03,704,677,755,790,729.8066,733.88074,0.9038873314857483,player
45,broadcast,player_03,720,667,768,784,744.5686,726.15,0.9029000997543335,player
48,broadcast,player_03,730,665,774,778,752.95605,722.0266,0.8925029039382935,player
51,broadcast,player_03,745,664,786,779,765.8364,721.8336,0.8917220830917358,player
54,broadcast,player_03,754,663,798,770,776.093,716.7112,0.9129061698913574,player
57,broadcast,player_03,751,659,814,767,783.1632,713.4542,0.913783848285675,player
60,broadcast,player_03,751,656,800,758,776.2174,707.58606,0.8889963626861572,player
63,broadcast,player_03,749,648,798,757,773.61194,703.3152,0.9217774271965027,player
66,broadcast,player_03,742,643,799,750,771.06824,697.0914,0.91709303855896,player
69,broadcast,player_03,733,640,790,748,762.3071,694.5857,0.9127463102340698,player
72,broadcast,player_03,731,639,780,740,755.89685,689.7704,0.931358277797699,player
75,broadcast,player_03,727,638,776,739,751.99164,688.5642,0.9177009463310242,player
78,broadcast,player_03,729,631,776,732,753.2007,682.0391,0.9137272238731384,player
81,broadcast,player_03,746,624,789,729,768.44934,677.0708,0.9071237444877625,player
84,broadcast,player_03,767,623,813,721,790.3212,672.43933,0.9071136713027954,player
87,broadcast,player_03,797,619,844,715,821.0693,667.4512,0.8838655352592468,player
90,broadcast,player_03,834,629,874,712,854.7387,670.82544,0.8368849754333496,player
90,broadcast,player_03,820,627,868,708,844.49963,667.9802,0.8149963021278381,player
93,broadcast,player_03,824,635,889,715,857.14685,675.2981,0.8430607318878174,player
93,broadcast,player_03,832,634,914,717,873.51843,675.72864,0.7674077749252319,player
93,broadcast,player_03,854,632,913,716,883.89386,674.42413,0.48740366101264954,player
