frame,camera,player_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,confidence,class
20,broadcast,player_02,655,722,720,843,688.24536,783.14197,0.9202320575714111,player
25,broadcast,player_02,672,710,726,836,699.7196,773.1033,0.9167647957801819,player
30,broadcast,player_02,679,697,726,823,703.15857,760.341,0.9134406447410583,player
35,broadcast,player_02,685,685,733,805,709.88434,745.39954,0.9110961556434631,player
40,broadcast,player_02,697,677,752,788,725.27637,732.7588,0.9177552461624146,player
45,broadcast,player_02,720,667,768,784,744.5686,726.15,0.9029000997543335,player
50,broadcast,player_02,739,665,779,778,759.7066,721.807,0.9089711904525757,player
55,broadcast,player_02,753,663,805,769,779.74664,716.6189,0.9215986132621765,player
60,broadcast,player_02,751,656,800,758,776.2174,707.58606,0.8889963626861572,player
65,broadcast,player_02,745,644,803,751,774.5694,698.0835,0.9232671856880188,player
70,broadcast,player_02,733,639,791,746,762.462,693.2522,0.9162726402282715,player
75,broadcast,player_02,727,638,776,739,751.99164,688.5642,0.9177009463310242,player
80,broadcast,player_02,740,625,782,731,761.7533,678.60596,0.9111312031745911,player
85,broadcast,player_02,775,621,817,715,796.56775,668.8115,0.9070240259170532,player
90,broadcast,player_02,834,629,874,712,854.7387,670.82544,0.8368849754333496,player
90,broadcast,player_02,820,627,868,708,844.49963,667.9802,0.8149963021278381,player
95,broadcast,player_02,833,644,923,719,878.5607,681.9947,0.9239286780357361,player
100,broadcast,player_02,831,679,905,725,868.47253,702.6103,0.8255655765533447,player
105,broadcast,player_02,849,693,893,733,871.7294,713.54675,0.7727884650230408,player
5,broadcast,player_03,1215,455,1279,549,1247.6875,502.5183,0.9125841856002808,player
10,broadcast,player_03,1255,466,1317,559,1286.8264,512.7544,0.9193398356437683,player
15,broadcast,player_03,1270,473,1338,564,1304.6614,518.6456,0.912056028842926,player
20,broadcast,player_03,1299,471,1380,561,1339.9904,516.50793,0.919320285320282,player
25,broadcast,player_03,1320,476,1370,564,1345.3306,520.5936,0.8752928376197815,player
30,broadcast,player_03,1320,474,1400,561,1360.435,518.2809,0.917990505695343,player
35,broadcast,player_03,1315,479,1373,566,1344.4496,523.1559,0.8982298374176025,player
40,broadcast,player_03,1333,483,1398,568,1365.7683,525.88336,0.9204748868942261,player
45,broadcast,player_03,1347,485,1417,569,1382.232,527.53687,0.9147059321403503,player
50,broadcast,player_03,1369,505,1402,578,1385.952,541.6455,0.8071861863136292,player
